Film,Commentaire,Sentiment
Intouchable,"Inspiré des vies de Philippe Pozzo di Borgo, devenu tétraplégique à la suite d’un accident de parapente et d'Abdel Yasmin Sellou, son aide à domicile, dont les personnalités et les origines sociales sont diamétralement opposées. De cette rencontre au départ improbable, va naître et se solidifier une belle et sincère amitié. Eric Toledano et Olivier Nakache ont brillamment réussi leur pari : faire une vraie comédie, sur un sujet pourtant délicat et difficile. C’est parfaitement dosé, à la fois touchant, émouvant et surtout très drôle,mais sans jamais être larmoyant, ni choquant. Il faut dire que le duo d’ « Intouchables » fonctionne à merveille : François Cluzet est génial et d’une admirable sobriété. Omar Sy est exceptionnel et d’un naturel confondant. Un vrai coup de cœur pour un film incroyable de sincérité.",Positif
Intouchable,"Vous savez, quand on s'assoie dans la salle et qu'on sait que ce sera une excellente soirée... Intouchables m'a tellement paru dans une classe à part que j'en perds mes mots. De l'humour subtil et bien réfléchi, un jeu d'acteurs superbe, une chimie à en bouleverser les règles de stœchiométrie, un thème touchant, de sages paroles et l'absence de morale lourde et encombrante : voilà la recette d'un film qui peut marquer un spectateur des jours et des jours après le visionnement. On y insère des phrases punchées qui nous poussent plus loin que la simple pitié. Les différences entre les personnages les fait évoluer chacun à leur manière, mais ils restent reconnaissables. On en oublie presque l'état physique de l'aristocrate tellement la relation est enrichissante. Et c'est peut-être là exactement ce que voulaient les réalisateurs. Savoir rire des choses même les plus graves est un talent qui n'est pas donné à tout le monde. Ce film devrait servir d'exemple! Si devais absolument trouver un point négatif, il serait dans le choix de la scène initiale qui n'a pas à être répétée durant le film. Le procédé cinématographique de ce moment serait selon moi à retravailler un peu. Sinon, impeccable, à voir à tout prix !!",Positif
Intouchable,"""Intouchables"" est le troisième plus gros succès de l'histoire du box-office français et le film français qui a rapporté le plus d'argent dans le monde (près de 430 millions de dollars !). Le quatrième long-métrage du tandem Toledano / Nakache est basé sur l'histoire vraie de Philippe Pozzo di Borgo (interprété par François Cluzet), un aristocrate tétraplégique qui va embaucher à son service un auxiliaire de vie, Abdel Sellou (joué par Omar Sy, qui est renommé Driss dans le film), qui est son exact opposé socialement et culturellement parlant. Malgré des débuts difficiles, ces deux hommes si différents vont finir par s'apprécier et s'enrichir mutuellement. ""Intouchables"" est avant tout un très beau film sur l'amitié et un plaidoyer pour la différence (culturelle et physique), qui dose subtilement l'humour et l'émotion pour véhiculer son propos. Ce mélange ô combien délicat entre rires et larmes est parfaitement réussi dans le film, grâce à un scénario soigné et des dialogues percutants. S'enchaînent ainsi parfaitement les répliques drôles (""Vous connaissez qui à Berlioz ?""; ""Moi, pour cinquante euros, je vais chez Casto et je vous la fait la trace de mon passage sur Terre""; ""Pas de bras, pas de chocolat""; ""Vous avez de la chance, ça doit être la seule fille de Dunkerque qui a encore toutes ses dents""...), les gags visuels (en particulier la scène hilarante de l'opéra et celle dans laquelle Driss coupe la barbe de Philippe par étape) et les moments très émouvants (Driss qui raconte son enfance à Philippe ou la fin). ""Intouchables"" doit aussi beaucoup à son duo d'acteurs principaux. Si l'excellente performance de François Cluzet ne surprend guère tant cet acteur est un coutumier du fait, en revanche la prestation inoubliable d'Omar Sy révèle l'étendue du talent à la fois comique et dramatique de ce comédien jusqu'ici cantonné à des rôles peu mémorables. Doté d'un sens comique rare, qui lui permet de faire un véritable festival de bons mots dans le film, Sy se montre également très convaincant dans le registre dramatique, en faisant preuve d'un jeu tout en retenu, qui contraste avec son exubérance habituelle. Le reste du casting est de qualité, avec notamment une étonnante Audrey Fleurot et une attachante Anne Le Ny. Ajoutons à cela la très jolie musique de Ludovico Einaudi, qui colle parfaitement aux images, ainsi que le choix judicieux des morceaux non originaux, qui mettent bien en exergue la différence culturelle existant entre les deux personnages principaux (funk / soul vs. musique classique / opéra). En conclusion : ""Intouchables"" est une brillante comédie, qui fait rire aux larmes autant qu'elle émeut. Ce film est un de mes plus gros coups de coeur de ces dernières années.",Positif
Intouchable,""" Intouchables "" la comédie de l'année 2011 . Une comédie au scénario originale inspiré d'une histoire vrai . C'est l'histoire de Driss ( Omar sy ) un jeune de banlieue qui sort tout juste de prison après un braquage . Driss est une tête brûlé qui n'a pas envie de travailler et qui vit de ses allocations préférant passer ses journées a trainer avec les jeunes de son quartier . Pour continuer de toucher ses allocations il est dans l'obligation de se rendre à un entretien d'embauche . il se rend alors chez Philippe ( François cluzet ) un homme riche en fauteuil roulant qui cherche une personne pour l'aider dans son quotidien . Intriguer par sa personnalité extravagante Phillipe décide d'engager Driss comme aide a domicile soit la personne la moins adapter pour le poste . Driss va alors devenir l'aide à domicile de Philippe alors qu'il n'y connait rien du tout et être propulser dans un milieu aristocrate totalement inconnu pour lui . Driss va alors bouleverser le quotidien calme et monotone de philippe ... "" Intouchables "" est une excellente comédie dramatique de Eric Toledano et Olivier Nacashe qui connu un immense succès surprise en 2011 ( 19 millions d'entrées ) grimpant ainsi sur la 3e marche du podium du box office français derrière "" bienvenue chez les ch'tis "" et "" Titanic "" . Le scénario adapter d'une histoire vraie est vraiment excellent , originale et prenant celui d'un jeune de banlieue qui va devenir aide à domicile d'un tétraplégique riche alors qu'il n'y connait rien et qu'il va l'aider par ses propre methodes ce qui va donner lieu à des moments particulièrement drôle . Ils vont devoir cohabiter ensemble alors qu'ils ne sont pas du même milieu , qu'ils n'on pas le même caractère ni les mêmes gouts et ce choc des culture entre ce jeune de banlieu extravertie venant d'un milieu modeste et ce tétraplégique riche calme et refermer va donner lieu à des moments hilarants . Le film est porter par un duo d'acteur exceptionnel à savoir François Cluzet et Omar Sy . Le duo François Cluzet / Omar Sy fonctionne à merveille . François Cluzet est genialissime dans le rôle de ce tétraplégique riche , calme et renfermer qui va engager un aide à domicile improbable pour l'aider magnifiquement interpréter par Omar sy véritable révélation du film qui crève littéralement l'écran ( récompenser a juste titre du césar du meilleur acteur ) dans le rôle de Driss ce jeune de banlieue extravertie qui va s'improviser aide à domicile et c'est drôle à voir . Ils forment un duo improbable ou chacun a une personnalité et une vie très différente . Ils vont devoir cohabiter ensemble malgré leur énorme différence ce qui va donner lieu à des moments hilarants . Ils n'on à priori rien en commun mais ils vont apprendre à se connaître et s'apprivoiser pour donner lieu a une histoire d'amitié aussi improbable que magnifique ou chacun apportera quelque chose de positif à la vie de l'autre . Ils forment un duo vraiment attachant . L'immense succès du film en ont fait de grosses stars au cinema nottament Omar Sy qui depuis à vu sa carriére exploser au cinema jusqu'a holywood ou il a pu jouer dans d'énormes blockbusters ( Jurassic world , x men ...) . Un film qui mélange habilement humour et émotion . Un film remplit de scènes très drôlespoiler:(l'apprentissage de driss pour aider Philippe dans son quotidien , Driss et Philippe à l'opera , la course poursuite avec les flics , l'aniversaire de Philippe ... ), de répliques hilarantes déjà cultes ( pas de bras pas de chocolat ... ) et de scènes très touchante . La musique du film jouer au piano est très belle et accentue l'émotion nottament lors de la dernière scène assez émouvante . Un film à ne surtout pas rater pour les rares personnes a ne pas l'avoir encore vu . CULTE.",Positif
Intouchable,"Véritable chef d'oeuvre et amplement mérité, Intouchables nous fait découvrir des liens forts entre un jeune de banlieue et un tétraplégique que tout oppose. Beaucoup de rires mais également une très forte émotion, j'en suis ressortie émue, à aller voir absolument !",Positif
Intouchable,Une grande réussite improbable. Deux mondes et deux personnes totalement opposées vont se s'apprivoiser et se lier d'une amitié peu commune. Rire garanti du début à la fin !,Positif
Intouchable,"Grande surprise, alors que la bande-annonce ne dégageait rien de spéciale... Un bon moment à passer devant ce long-métrage, on rigole, on pleure, on est ému. Très bonne claque émotionnelle française. Le duo François Cluzet et Omar Sy, est attachant. Le cinéma français nous prouve qu'il a encore de la carrure !",Positif
Intouchable,"Intouchables est sûrement une des comédies françaises m'ayant fait le plus rire au monde. Ce qui est vraiment spectaculaire dans ce film, c'est sans aucun doute la bonne humeur constante qui nous fait tout le temps sourire même quand il ne se passe rien. Côté acteurs, François Cluzet est évidemment comme à son habitude excellent mais Omar Sy... César!!!!!!! Sa prestation et sa transformation d'un ""dur des banlieues"" sont impressionnantes! La musique qui est reprise de beaucoup de partitions célèbre va le devenir encore plus grâce à cette comédie. Mais ce qui est le plus spectaculaire dans ce film, c'est le nombre de répliques hilarantes et bluffantes que Eric Toledano et Olivier Nakache ont pu imaginer!! J'avais jamais vu autant de vannes en un seul film... et combien de fois j'ai éclaté de rire dans la salle.... au moins 500 fois! Intouchables devient donc une comédie culte et qui va rester dans la mémoire de beaucoup de français.",Positif
Intouchable,"Une Réussite Total. Apres avoir signe deux belles réussites comme Tellement Proches et Nos Jours Heureux, le tandem de réalisateur Eric Toledano et Olivier Nakache sont de retour avec un Feel Good Movie Hilarant et Émouvant qui est parvenu a conquérir la France Entière et qui par ailleurs devenu un Sucées Colossal au Box Office a sa sortie en salles. Pour Commencer la Réalisation est méticuleusement soignée avec précision qui est servi par une magnifique BO de Ludovico Einaudi qui parvient a alterner les Musiques Classiques et les tubes funky et soul dont certaines chansons sont tirer du groupe Earth Wind & Fire qui apporte une énergie débordante au film. Ensuite le Scénario est Captivant tout en parvenant s'inspirer d'une histoire vrai de Philippe Pozzo di Borgo et Abdel Yasmin Sellou dont leurs incroyables histoire sont brillamment ici retranscrit a l'écran grâce a son Casting fabuleux dont en tète le talentueux François Cluzet qui incarne avec sensibilité le personnage de Philippe un aristocrate tétraplégique et qui parvient a former un duo inattendu avec l'inoubliable Omar Sy qui quand a lui parvient une livrer une prestation de qualité dans le rôle de Driss un Banlieusard devenu Auxiliaire de Vie qui une amitié naissante entres ces deux protagonistes va provoquer un véritable Choc des Cultures sans oublier une galerie de Seconds Roles au top tels que Audrey Fleurot,Anne Le Ny,Clotilde Mollet et Salimata Kamate qui livre une prestation de irréprochable. Enfin le long métrage parvient a combiner avec finesse Humour et Émotion avec d'un coté un Humour Irrésistible ponctué de Scènes Cultissimes et de Répliques Croustillantes et de l'autre une Touche Dramatique qui manque pas de nous émouvoir avec notamment un Final particulièrement poignant qui ne tombe jamais dans le pathos. En Résumer, Intouchables est une pure réussite a la fois Sensible,Hilarant et Sincère qui mérite d'être au rang des Meilleurs Comédies du Cinéma Français comme on voudrait en voir plus souvent et qui a savourer sans modération.",Positif
Intouchable,"Un superbe film qui mérite amplement le succès qui récolte. François Cluzet et Omar Sy forment un duo qui restera dans les anales du cinéma. Une magnifique histoire vraie, hilarante et vraiment touchante. Petit défaut : La fin traîne un peu en longueur mais rien de bien grave. A voir obligatoirement.",Positif
